         2283393 function calls (2174341 primitive calls) in 1050.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1309    0.029    0.000  990.377    0.757 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:599(run)
     1309    0.134    0.000  990.333    0.757 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:835(_run)
     1309    0.010    0.000  989.609    0.756 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:916(_do_run)
     1309    0.004    0.000  989.599    0.756 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:963(_do_call)
     1309    0.040    0.000  989.595    0.756 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:940(_run_fn)
     1309  988.335    0.755  988.335    0.755 {_pywrap_tensorflow.TF_Run}
     2646   56.390    0.021   56.390    0.021 {posix.system}
     2621    0.033    0.000    2.484    0.001 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/platform/gfile.py:39(sync)
     1310    0.008    0.000    2.423    0.002 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/platform/gfile.py:189(read)
     1311    2.422    0.002    2.422    0.002 {method 'read' of 'file' objects}
     1309    0.012    0.000    1.170    0.001 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:980(_extend_graph)
        1    0.045    0.045    0.914    0.914 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/importer.py:152(import_graph_def)
33477/10366    0.085    0.000    0.753    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1035(ByteSize)
50890/34490    0.356    0.000    0.699    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:474(init)
        1    0.005    0.005    0.625    0.625 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1057(SerializeToString)
        1    0.000    0.000    0.615    0.615 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1071(SerializePartialToString)
     1007    0.015    0.000    0.615    0.001 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:2241(create_op)
     3021    0.030    0.000    0.611    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:351(FieldSize)
34818/15440    0.126    0.000    0.580    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1233(MergeFrom)
   7346/1    0.019    0.000    0.534    0.534 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1077(InternalSerialize)
    477/1    0.006    0.000    0.534    0.534 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:753(EncodeRepeatedField)
     1007    0.018    0.000    0.451    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:1148(__init__)
        1    0.006    0.006    0.422    0.422 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:2098(_as_graph_def)
        1    0.000    0.000    0.354    0.354 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/message.py:178(ParseFromString)
        1    0.000    0.000    0.354    0.354 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1088(MergeFromString)
   7345/1    0.030    0.000    0.354    0.354 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1108(InternalParse)
    477/1    0.006    0.000    0.354    0.354 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:601(DecodeRepeatedField)
     1007    0.018    0.000    0.302    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:730(DecodeMap)
     1007    0.009    0.000    0.296    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:818(EncodeField)
4871/4381    0.029    0.000    0.283    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:379(extend)
     2014    0.015    0.000    0.253    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:595(MergeFrom)
    21114    0.045    0.000    0.249    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:429(MakeSubMessageDefault)
20071/8948    0.020    0.000    0.236    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:307(FieldSize)
    29911    0.052    0.000    0.210    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:541(__getitem__)
